,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,2.131457,3.7768042,3.0808887,3.815512,3.4324849,3.6859457,3.7523417,4.7418613,3.9360454,4.383545,3.7462,3.793302,3.933235,3.677607,4.541682,4.056802,3.6163664
1,3.5618494,5.413917,4.348143,4.661176,5.2362556,4.9226074,4.8907986,5.168821,4.294867,4.710501,4.4041796,5.453532,5.061003,4.483501,5.1238723,4.300064,4.460035
2,2.092709,2.38106,1.958629,2.5869224,2.1950643,3.287346,2.9624445,3.3925197,1.9049207,3.3415544,3.2542412,2.6888192,2.4093196,2.0463312,2.1921794,3.2117805,2.5359278
3,2.5204394,1.7840819,2.3894331,3.1344876,3.848851,3.1974535,2.165305,2.4745562,3.485374,3.109896,3.5994694,3.722031,3.3197327,2.7579777,3.069709,2.3962598,3.4995627
4,3.7791908,4.7581954,4.5073237,4.9840965,4.586389,4.4728856,5.048371,4.812327,4.9538946,4.358575,4.5793085,4.5214047,5.320797,4.565331,4.9380713,4.5098653,4.4329095
5,3.589209,4.8477087,4.7360682,5.089242,5.172102,4.839084,4.326636,4.4180717,4.352365,4.784103,4.550325,4.094106,5.1581697,4.822877,4.726482,4.868103,4.906964
6,4.3994823,5.275318,5.225422,5.1587143,5.55705,5.013227,5.3566537,5.5323052,5.206921,4.934343,4.9369645,4.55557,4.6628017,4.662211,4.877525,5.0801053,5.3349586
7,3.4348702,4.351047,4.3446403,4.431471,4.3274784,4.94934,4.4966693,4.3075266,5.15737,3.7988195,3.8066947,4.765393,4.474179,5.4408746,4.670005,4.9936686,4.5933127
8,4.575687,5.0323744,4.319339,4.793579,5.581077,5.0018125,5.543211,5.4085155,5.225808,4.8740864,5.1484256,5.1503177,4.807443,5.0551305,5.1455626,4.850678,4.9150276
9,2.339912,3.5599837,4.7243032,3.2689233,3.5471942,3.7024748,3.2524786,3.7960413,3.893035,3.9984112,3.8985195,3.4688883,4.318866,3.764567,3.8407266,4.3590565,4.3438168
10,2.8618362,4.533631,5.204749,4.5776973,4.021889,4.249469,4.315903,4.553221,4.1166644,4.4865193,3.9784865,4.1610737,3.9487865,4.570567,3.967646,4.501362,5.426592
11,3.8268125,4.7477,4.8340077,4.9419417,4.713572,4.686868,4.7415843,4.5263715,4.9895954,5.2673182,4.874549,5.112179,5.231491,4.738496,5.2029796,5.1060076,5.3531275
12,3.9756746,4.4939027,4.2484517,3.743657,3.3593678,2.8964202,3.1737533,2.768818,2.9342618,2.8671315,2.7677238,3.0929537,3.3366961,2.930248,3.2008548,2.8499002,3.2752109
13,3.4396517,5.067821,5.520551,5.092756,5.582297,5.3609776,5.4082117,4.9506516,5.3402586,5.2390575,4.9077306,5.280577,4.6095185,4.6294436,5.1916156,5.1716347,4.5617466
14,3.160321,4.791289,4.3260937,4.340958,4.4112015,4.300224,4.361544,3.932542,4.70732,3.8997555,4.15181,4.591112,3.9740083,4.2029424,4.650306,3.8437703,4.4981775
15,3.4804802,4.2976556,4.7238865,4.919975,4.3330603,4.7149124,4.679441,4.4861093,4.256247,4.2585692,4.3677115,4.8528376,4.6939764,4.9467497,4.176334,5.1933794,4.0149503
16,4.652235,4.8193054,5.058051,4.904875,5.17481,5.2725897,5.3302774,5.326464,5.0026536,4.709685,5.168473,5.348895,5.136158,5.536548,5.2915916,5.2072268,5.3313584
17,2.0888767,4.3880963,3.787293,4.5431404,4.040229,4.2024546,4.3835144,3.9037828,4.8629117,4.097655,2.5750663,2.3537884,3.2366512,3.5181057,2.1465464,3.0115523,3.5044146
18,3.6696148,4.3703656,4.4312506,4.065781,3.6923687,3.9139934,4.0833993,4.6429067,3.8164399,4.791151,3.9521785,4.672816,4.907282,3.9182103,4.2950716,3.9635825,4.4379716
19,2.7016604,4.0043125,4.7257276,4.028078,5.287696,4.017688,5.0057254,3.8880403,3.632074,4.3138995,4.1576157,4.2714343,4.2240314,4.6742115,4.41241,3.7327642,3.610099
20,4.4661593,5.306227,4.76601,4.9622145,4.770367,5.282248,4.896066,5.5720353,4.8828607,4.5169425,5.5036793,5.1450467,5.664752,5.228395,4.9804707,5.47158,5.0851355
21,4.2688146,5.0959983,4.922823,5.4110937,4.755517,3.921599,4.458478,4.151432,4.7978907,4.185567,4.279315,4.7149243,4.5559144,4.662334,5.073293,4.765447,5.332395
22,4.2256026,2.7796786,4.3647013,5.3192024,5.1217732,5.340515,4.772168,5.397894,5.37111,4.806365,5.1609197,5.5541997,5.2743115,4.5863066,4.9799213,5.123393,4.3690805
23,4.403275,5.497989,5.335236,5.445442,5.223859,5.141097,5.0159783,5.2723637,5.1481586,5.694246,5.428627,5.485726,5.6777387,5.896342,5.214878,5.7246966,5.1001396
24,4.2407165,5.0040903,5.1931067,5.39174,5.150559,5.3224635,4.645448,4.9263315,5.342613,5.3194795,5.2656617,5.4052615,5.486328,4.8869066,5.256258,5.1714897,4.8632054
25,2.6710694,4.4993987,3.8891344,4.216805,4.707135,5.008302,4.6215057,4.243822,5.0320773,4.3611965,4.132578,4.626887,4.5712957,4.4981356,4.3838954,5.341684,4.437993
26,3.8348026,5.2091007,5.275909,4.7935877,5.0902243,5.126587,4.871514,3.6004858,4.8767595,4.1252313,4.968596,4.5359206,4.372419,4.8099465,4.7044744,4.4473724,4.3884616
27,3.6993191,5.081229,4.427052,4.906625,4.047572,3.9726055,4.3290186,4.594092,4.751088,4.552111,5.1740685,3.9622843,4.4834495,4.301005,4.6892843,4.2752967,4.684054
28,3.692221,4.693358,5.180563,4.723242,4.9766054,4.6161265,4.5982924,4.563093,4.7222695,5.3421493,5.263104,5.352019,5.4669967,4.9973655,4.7881517,5.164733,4.4070034
29,3.8379369,5.2294893,5.09406,5.040319,4.78017,5.1163087,4.839187,5.1223907,5.1144376,5.4768157,5.036238,4.5957866,5.2381716,4.9250875,4.6068897,5.083815,5.2081532
30,4.7020316,5.4256496,4.9712915,5.3179173,5.2057056,5.3606358,5.8348126,5.4958854,5.1120896,5.715248,5.416276,5.760347,5.4835043,5.6382265,5.4430037,5.4259143,5.3788376
31,4.3573775,4.781439,5.46586,5.471508,5.164822,5.3200374,5.4929757,5.393002,4.499559,4.315833,5.3270574,4.946656,4.736789,4.9796915,5.1933556,5.366817,4.785655
32,1.9820617,2.505689,2.5563316,3.7701125,4.026949,3.1797566,3.1993093,3.652204,3.3271005,4.578168,3.3722095,3.95843,2.8134153,3.234979,3.5131652,3.498272,3.0897439
33,3.3969285,4.6957617,5.1630306,4.7658563,4.8105755,4.620387,4.3383985,4.8043528,4.9000907,4.272851,4.9794955,4.6269817,4.764392,4.8534317,4.385405,5.160459,5.1576486
34,1.886647,2.893674,2.2326682,3.1831076,4.1665254,3.0134177,3.7950578,2.958886,2.2218587,2.4311492,3.574087,4.0788403,2.8364387,3.6085823,3.454599,3.244959,2.864924
35,2.2982645,4.0423675,3.5231059,4.1567397,3.9488013,4.58811,4.3569446,4.1120906,4.1760015,4.2761607,3.167952,4.5005994,3.6487813,3.1742904,3.7516222,3.6154084,3.6328547
36,2.6780448,4.8309107,4.914019,4.3450074,3.9558258,4.9232545,4.165303,4.463748,3.8557827,4.2158337,4.2833977,3.8924344,4.1782956,3.9080937,3.2189152,4.010141,3.288546
37,4.4735346,4.914326,5.3037477,4.9689655,4.6745567,4.9588532,5.031086,4.962331,4.741624,4.712144,4.766735,4.753068,4.8466816,4.915859,4.5700164,4.918238,5.0726857
38,3.172792,4.0052276,4.8780594,5.435713,4.4614673,4.520815,5.2479095,4.5328364,4.2292686,4.351215,4.745943,4.511138,4.000283,4.203103,3.6587758,4.656244,4.2921176
39,3.9407594,4.6467214,4.341863,4.890309,4.974765,4.70987,4.620893,5.1947126,4.5456605,4.487851,4.2906394,4.6436186,4.800399,4.30916,4.214166,4.4237385,4.38293
40,4.2452526,4.5844946,5.0410357,4.868856,4.6402183,4.6020193,4.788503,5.08816,4.883682,4.807134,5.1376524,4.910823,5.18637,4.7193537,4.530457,4.933583,4.417083
41,2.9438386,2.7257175,4.695793,4.925173,4.8329597,4.8736396,4.797376,5.1347523,5.4862323,5.2192764,5.2219152,4.812283,4.7310576,4.6626616,5.210461,5.330458,4.477259
42,4.2858686,4.7160487,4.713061,4.8920765,4.878181,5.062755,4.8499455,4.554768,4.7519264,4.639468,4.912053,5.0690536,5.061755,4.9291787,4.926367,4.5814466,4.9325643
43,3.0978987,4.5430164,3.5557244,4.831165,3.6713674,4.1501026,4.33029,4.444577,3.774321,3.86686,4.212401,4.3794446,4.4504104,4.583921,3.9291017,4.289705,4.8067513
44,4.3434477,5.0162854,4.8825293,5.3124285,5.5127916,4.5039587,4.162897,4.7964935,4.6166224,5.846716,5.0835953,5.028593,5.3133616,5.3831,5.379795,5.183768,4.7612453
45,3.1453192,4.184272,4.1846833,4.5122967,4.711745,3.402661,4.8144817,3.929922,4.481178,4.470546,4.4741673,4.704997,4.4252024,4.2935853,4.367844,4.157084,4.9965463
46,3.7200723,5.132404,5.4230266,5.0043187,4.9294753,5.4663887,4.5935893,5.0703325,5.059026,5.714447,5.2570224,5.347016,5.13041,5.409419,5.0077205,5.5224867,4.782479
47,2.888849,3.2711384,4.7072735,4.4811144,4.825209,4.891164,4.8244753,4.0821133,5.105893,4.51452,4.7077236,4.194168,4.6647935,4.1831365,4.6585855,4.74758,3.1937246
48,4.0050187,4.8058767,4.4210305,4.1894984,4.84564,5.080048,5.507053,4.4796257,5.0486736,5.37543,5.192189,5.117318,4.9429026,4.8690476,4.7728095,5.0448213,4.599826
49,2.0619206,1.8677438,1.9885817,2.2131817,2.090946,2.599448,1.9591138,1.5428643,2.517195,2.5301037,2.3017557,2.2347202,1.8070604,1.9890773,3.00652,2.0516448,1.9116231
50,4.199228,5.2902093,5.0674853,5.2116733,5.3391676,5.2761035,4.923428,5.3793287,5.191819,5.037255,5.498081,5.257014,5.2896647,5.0770736,4.9935036,5.0886426,5.022736
51,2.437068,3.0875123,3.2139254,2.1683502,3.3667526,4.545024,2.914649,4.0248528,3.6455402,3.7187967,2.4043572,3.7487595,3.786902,4.1760173,2.349334,3.0833986,3.2619817
52,2.4368432,3.4682612,3.5153666,3.9404163,3.8731103,4.53458,3.7100518,4.2119346,3.6634207,3.8853705,3.9290497,4.2125616,3.4853606,2.4744637,3.7387652,4.055432,2.9738913
53,2.1437395,4.2627897,4.5634375,3.3529937,3.6530159,2.8175943,4.152059,3.8445284,3.4982288,4.1689754,3.807287,3.510201,3.792094,4.175484,3.715642,3.2804768,2.3494084
54,2.5576284,3.8931727,4.7251616,4.5825987,4.279666,3.9025605,4.628433,4.585938,4.43759,4.08696,4.266551,5.3378825,4.269844,4.3951416,3.9198098,4.0915036,3.2772186
55,2.7066479,2.0622401,2.1193452,2.173944,2.6814845,4.095276,3.445879,4.6612325,4.510597,3.9583826,4.8567305,3.6615944,4.2595243,4.5128217,4.325551,4.6446304,4.4023952
56,2.2008007,2.3532162,2.0024009,1.9086275,2.6796613,4.5795507,3.8352587,4.265119,4.4551196,4.729095,3.5727904,4.691749,4.3452897,4.2329636,3.9406796,3.539379,3.9390593
57,3.5166552,4.786049,4.809334,5.191649,5.0021772,4.682812,5.2185817,5.0146756,4.9704194,4.7658873,4.669737,5.283778,5.0790157,4.938684,4.9964614,4.9738193,4.8349223
58,2.35795,3.3765235,4.2243237,4.8302083,4.1745687,4.5787582,4.0025597,4.6054235,4.0223484,3.9804366,2.8328576,4.01352,3.3212056,4.089089,4.0916314,3.8536017,3.3608263
59,2.7871387,5.119272,4.6475534,2.5233667,4.883107,3.9477737,3.0018814,5.2345037,2.40201,5.513038,5.8119245,3.128596,3.9863691,5.3074784,2.5278232,5.149267,5.159026
