,CNN E100 B10,CNN E100 B32,CNN E75 B10,CNN E75 B32,CNN E50 B10,CNN E50 B32,LSTM E100 B10,LSTM E100 B32,LSTM E75 B10,LSTM E75 B32,LSTM E50 B10,LSTM E50 B32,RNN E100 B10,RNN E100 B32,RNN E75 B10,RNN E75 B32,RNN E50 B10,RNN E50 B32
MSE,0.8383450508117676,0.7956299781799316,0.7508428692817688,0.7562333345413208,0.7515248656272888,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198,0.732585608959198
MAE,0.7332126498222351,0.714273989200592,0.6965612769126892,0.6972594261169434,0.6935060620307922,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727,0.6847274899482727
% Error,18.951404571533203,19.161710739135742,19.329877853393555,18.787912368774414,18.878385543823242,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039,18.84402847290039
